llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,Isabella follows her morning routine without drift; minor email distraction noted.,Routine action matches plan; competing stimuli present but not disruptive.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish skincare, brush teeth, and dress for the day.",2023-02-13 06:00:00,True,attentional_leak,Valentine's Day party planning,"glances at phone emails, lingers on a message about party supplies","Isabella shakes her head slightly, refocuses on brushing her teeth, but her mind briefly wanders back to the party details.",Isabella’s hospitable nature makes her eager to plan; emails about the party pull her attention.,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day party planning,"Isabella brushes her teeth in the bathroom while her mind drifts to Valentine's Day party planning, glancing at phone emails about supplies."
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's Day party planning,task-switching between routine and event planning,Isabella’s focus splits between routine and party prep—anchor to one task.,Isabella’s morning routine is intact but attention drifts to party planning.,Minor attentional leak noted; party theme resurfaces despite routine priority.,switch_topic,2023-02-13 06:15:00,home:kitchen,morning_routine,Valentine's Day party supply checklist,Review party supply emails while completing breakfast routine.,2023-02-13 06:15:00,True,behavioral,Valentine's Day party supply logistics,pauses breakfast prep to scroll through party supply emails,"Isabella might refocus after skimming key emails, but lingering logistics could prolong drift.",Isabella’s hospitable nature pulls her toward party details—even mid-routine.,2023-02-13 06:15:00,home:kitchen,breakfast,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,"Isabella pauses breakfast prep in the kitchen to scroll through party supply emails, distracted by logistics."
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:30:00,home:kitchen,breakfast,Isabella Rodriguez is at home:kitchen doing breakfast.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's Day party supply logistics,fixation on unresolved party planning details,Isabella’s focus is split; anchor to breakfast or defer party thoughts.,"Isabella drifts to party logistics during breakfast, disrupting routine focus.",Repeated party planning resurfacing indicates rumination; attention is slipping from primary task.,switch_topic,2023-02-13 06:30:00,home:kitchen,breakfast,light breakfast with focus on party supply checklist review,Eat breakfast while briefly noting party logistics to ease rumination.,2023-02-13 06:30:00,True,behavioral,Valentine's Day party supply logistics,pauses breakfast to reply to a supplier email about heart-shaped confetti,"Isabella might return to breakfast after sending the email, but her focus remains divided.",Isabella’s fixation on party details pulls her attention; the email feels urgent.,2023-02-13 06:30:00,home:kitchen,admin,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,"Isabella pauses breakfast in the kitchen to reply to a supplier email about heart-shaped confetti, sidetracked by party logistics."
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:45:00,home:kitchen,admin,Isabella Rodriguez is at home:kitchen doing admin.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,Valentine's Day party supply logistics,fixation on unresolved party logistics,Isabella’s focus is hijacked by party logistics; reset to morning routine.,"Isabella is fixated on party logistics, neglecting morning admin tasks.",Repeated drift to party planning signals over-prioritization; routine disrupted.,reset_plan,2023-02-13 06:45:00,home:office,admin,complete morning admin tasks,Prioritize routine admin over party logistics to regain focus.,2023-02-13 06:45:00,True,behavioral,Valentine's Day party supply logistics,opens supplier website to check confetti stock instead of morning admin,Isabella could set a 5-minute timer to refocus on admin tasks after addressing the supply concern.,"Isabella’s fixation on party logistics pulls her away from routine admin, despite the reset rule.",2023-02-13 06:45:00,home:office,admin,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,Opens supplier website to check confetti stock in the home office instead of morning admin tasks.
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:00:00,home:office,admin,Isabella Rodriguez is at home:office doing admin.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's Day party supply logistics,fixation on party logistics disrupting routine tasks,Isabella’s focus is hijacked by party planning; reset to morning admin priorities.,"Coach Isabella is fixated on party logistics, neglecting scheduled admin work.",Repeated drift to party planning signals fixation; admin tasks require immediate realignment.,reset_plan,2023-02-13 07:00:00,home:office,admin,"morning admin tasks (emails, scheduling)",Prioritize pending admin work to counter party logistics fixation.,2023-02-13 07:00:00,True,behavioral,Valentine's Day party supply logistics,opens supplier website to recheck confetti stock instead of admin tasks,"Brief refocus on admin tasks after supplier confirmation, but likely to drift again if emails arrive","Isabella’s fixation on party logistics overrides admin priorities, despite meta_rule reset.",2023-02-13 07:00:00,home:office,admin,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,"Opens supplier website to recheck confetti stock in home office instead of completing admin tasks, preoccupied with party logistics."
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:15:00,home:office,admin,Isabella Rodriguez is at home:office doing admin.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's Day party supply logistics,fixation on party logistics disrupting routine tasks,Isabella’s fixation on party logistics is derailing morning admin; reset focus.,"Coach Isabella is fixated on party logistics, neglecting scheduled admin work.",Repeated drift into party planning despite scheduled admin tasks indicates fixation and plan misalignment.,reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Complete small admin tasks to regain routine alignment before party logistics.,2023-02-13 07:15:00,True,attentional_leak,Valentine's Day party supply logistics,glances at supplier website tab left open,Isabella could close the tab and return to admin tasks after a brief pause.,Isabella’s fixation lingers; the open tab pulls her focus despite the reset attempt.,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day party supply logistics,Isabella reviews store admin tasks at her home office desk while her attention drifts to checking supplier websites for party supplies.
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,Valentine's Day party supply logistics,fixation on party logistics despite routine context,Isabella’s fixation on party logistics is overriding morning routine priorities.,Coach Isabella’s attention remains fixated on party logistics during morning routine.,"Repeated drift to party logistics signals unresolved fixation, requiring plan reset.",reset_plan,2023-02-13 07:30:00,home:kitchen,morning_routine,light breakfast and hydration,Begin morning routine with low-cognitive-load tasks to reset focus.,2023-02-13 07:30:00,True,behavioral,Valentine's Day party supply logistics,pauses breakfast to check supplier email on phone,"Isabella might refocus after addressing the most pressing supplier concern, but fixation lingers.","Isabella’s fixation on party logistics overrides her morning routine, pulling her to check emails mid-breakfast.",2023-02-13 07:30:00,home:kitchen,pauses breakfast to check supplier email on phone,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,Isabella pauses breakfast in the kitchen to urgently check supplier emails about Valentine's Day party supplies.
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:45:00,home:kitchen,pauses breakfast to check supplier email on phone,Isabella Rodriguez is at home:kitchen doing pauses breakfast to check supplier email on phone.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's Day party supply logistics,fixation on party logistics disrupting routine tasks,Isabella’s fixation on party logistics is overriding scheduled admin work.,"Coach Isabella is fixated on party logistics, neglecting morning routine and admin tasks.",Repeated behavioral drift and attentional leakage signal plan misalignment and fixation.,reset_plan,2023-02-13 07:45:00,home:office,admin,light admin review to reset focus,Briefly address low-effort admin tasks to regain routine alignment.,2023-02-13 07:45:00,True,behavioral,Valentine's Day party supply logistics,continues scrolling supplier emails instead of transitioning to admin tasks,Isabella could set a 5-minute timer to refocus on admin tasks before leaving for the cafe.,"Isabella’s fixation on party logistics overrides her plan to reset focus, pulling her deeper into supplier details.",2023-02-13 07:45:00,home:office,continues scrolling supplier emails instead of transitioning to admin tasks,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,"Isabella remains at her home office desk, scrolling through supplier emails for Valentine's Day party logistics instead of starting admin tasks."
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 08:00:00,home:office,continues scrolling supplier emails instead of transitioning to admin tasks,Isabella Rodriguez is at home:office doing continues scrolling supplier emails instead of transitioning to admin tasks.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's Day party supply logistics,fixation on party details as avoidance of admin tasks,Isabella’s fixation on party logistics is displacing core admin work—interrupt the loop.,"Coach Isabella is stuck in party logistics rumination, neglecting scheduled admin tasks.",Repeated supplier checks signal avoidance; emotional residue suggests underlying stress about admin.,reset_plan,2023-02-13 08:00:00,home:office,admin,prioritize urgent admin tasks,Shift focus to pending admin work; defer party logistics temporarily.,2023-02-13 08:00:00,True,behavioral,Valentine's Day party supply logistics,"lingers at home:office, skimming supplier emails instead of preparing to leave for the cafe",Isabella could set a 5-minute timer to wrap up supplier checks and transition to admin tasks before leaving.,Isabella’s fixation on party details pulls her away from the morning transition to the cafe.,2023-02-13 08:00:00,home:office,admin,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,"Isabella lingers at her home office desk, skimming supplier emails about Valentine's Day party supplies instead of preparing to leave for the cafe."
mistral-large-3:675b-cloud,0.5,Isabella Rodriguez,2023-02-13 08:15:00,home:office,admin,Isabella Rodriguez is at home:office doing admin.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's Day party supply logistics,fixation on party logistics despite scheduled admin work,Coach Isabella is stuck in logistics rumination; reset to admin priorities.,"Coach Isabella fixated on party logistics, neglecting admin tasks and schedule.",Repeated behavioral drift and rumination signal plan abandonment; requires reset.,reset_plan,2023-02-13 08:15:00,home:office,admin,complete pending admin tasks,Focus on overdue admin work to realign with schedule priorities.,2023-02-13 08:15:00,True,behavioral,Valentine's Day party supply logistics,continues scrolling supplier emails instead of packing up to leave for the cafe,"Isabella might snap out of it when the first customer texts asking if the cafe is open yet, or when she notices the time and realizes she’s late.",Isabella is too caught up in party logistics to break the cycle—her hospitable nature makes her want everything perfect.,2023-02-13 08:15:00,home:office,admin,Valentine's Day party supply logistics,behavioral,Valentine's Day party supply logistics,"Isabella remains at her home office desk, scrolling through supplier emails for Valentine's Day party supplies instead of packing up to leave for the cafe."
