llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 10:00:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",[],Hailey Johnson is at home:bathroom doing morning_routine.,Hailey wakes up feeling refreshed.,aligned,low,stable,none,,none,initial engagement with digital notifications,"['social media alerts', 'phone buzzing']",,continue,"Hailey is refreshed and following her morning routine, though social media alerts are competing for her attention.",Initial cycle shows perfect alignment; Hailey's high energy and refreshed state suggest strong focus on the current plan.,2023-02-13 10:00:00,home:bathroom,morning_routine,2023-02-13 10:00:00,15,Hailey wakes up feeling refreshed.,"Hailey begins her morning routine in the bathroom, feeling refreshed while glancing at her phone's social media alerts.",2023-02-13 10:00:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey begins her morning routine in the bathroom, feeling refreshed while glancing at her phone's social media alerts.",,2023-02-13 10:15
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 10:15:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed and following her morning routine, though social media alerts are competing for her attention.) ; Hailey begins her morning routine in the bathroom, feeling refreshed while glancing at her phone's social media alerts.""}]",Hailey Johnson is at home:bathroom doing morning_routine.,,aligned,low,slipping,none,,none,digital distraction,"['phone buzzing', 'social media alerts']",Hailey is distracted by social media; she must focus on her routine to maintain her energetic morning momentum.,continue,Hailey is refreshed but distracted by phone alerts while completing her morning routine in the bathroom.,"Hailey is following her schedule, but the phone is a clear distractor threatening her focus early in the day.",2023-02-13 10:15:00,home:bathroom,morning_routine,2023-02-13 10:15:00,15,Hailey wakes up feeling refreshed.,"Hailey continues her morning routine in the bathroom, focusing on hygiene despite the distraction of phone alerts.",2023-02-13 10:15:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey continues her morning routine in the bathroom, focusing on hygiene despite the distraction of phone alerts.",,2023-02-13 10:30
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 10:30:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed and following her morning routine, though social media alerts are competing for her attention.) ; Hailey begins her morning routine in the bathroom, feeling refreshed while glancing at her phone's social media alerts.""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed but distracted by phone alerts while completing her morning routine in the bathroom.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene despite the distraction of phone alerts.'}]",Hailey Johnson is at home:bathroom doing morning_routine.,,aligned,low,slipping,low,digital notifications,none,distraction by external digital stimuli,"['phone buzzing', 'social media alerts']",,continue,Hailey is completing her morning routine while successfully resisting the urge to check frequent social media notifications.,"Hailey is aligned with her schedule, but the persistent phone alerts create a minor attentional pull that requires monitoring.",2023-02-13 10:30:00,home:bathroom,morning_routine,2023-02-13 10:30:00,15,Hailey wakes up feeling refreshed.,"Hailey continues her morning routine in the bathroom, focusing on skincare while resisting the distraction of incoming social media notifications.",2023-02-13 10:30:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey continues her morning routine in the bathroom, focusing on skincare while resisting the distraction of incoming social media notifications.",,2023-02-13 10:45
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 10:45:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed and following her morning routine, though social media alerts are competing for her attention.) ; Hailey begins her morning routine in the bathroom, feeling refreshed while glancing at her phone's social media alerts.""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed but distracted by phone alerts while completing her morning routine in the bathroom.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene despite the distraction of phone alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while successfully resisting the urge to check frequent social media notifications.) ; Hailey continues her morning routine in the bathroom, focusing on skincare while resisting the distraction of incoming social media notifications.'}]",Hailey Johnson is at home:bathroom doing morning_routine.,,aligned,low,slipping,low,social media notifications,none,digital distraction vs. physical routine,"['phone buzzing', 'social media alerts']","Hailey is maintaining her routine, but the constant phone alerts are creating a significant pull on her attention.",continue,"Hailey is successfully ignoring phone alerts to finish her morning routine, though the distraction is constant.",Hailey remains aligned with her morning routine despite the persistent external stimuli from her phone alerts.,2023-02-13 10:45:00,home:bathroom,morning_routine,2023-02-13 10:45:00,15,Hailey wakes up feeling refreshed.,"Hailey continues her morning routine in the bathroom, focusing on hygiene while managing the distraction of incoming social media notifications.",2023-02-13 10:45:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey continues her morning routine in the bathroom, focusing on hygiene while managing the distraction of incoming social media notifications.",,2023-02-13 11:00
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 11:00:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed and following her morning routine, though social media alerts are competing for her attention.) ; Hailey begins her morning routine in the bathroom, feeling refreshed while glancing at her phone's social media alerts.""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed but distracted by phone alerts while completing her morning routine in the bathroom.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene despite the distraction of phone alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while successfully resisting the urge to check frequent social media notifications.) ; Hailey continues her morning routine in the bathroom, focusing on skincare while resisting the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is successfully ignoring phone alerts to finish her morning routine, though the distraction is constant.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene while managing the distraction of incoming social media notifications.'}]",Hailey Johnson is at home:bathroom doing morning_routine.,,aligned,med,slipping,low,social media notifications,none,digital distraction resistance,"['phone buzzing', 'social media alerts']",,continue,Hailey is completing her morning routine while managing persistent social media distractions.,"Hailey is following her routine, but the repetitive environment and constant phone pings are beginning to erode her focus.",2023-02-13 11:00:00,home:bathroom,morning_routine,2023-02-13 11:00:00,15,Hailey wakes up feeling refreshed.,"Hailey continues her morning routine in the bathroom, staying on schedule while managing the persistent hum of social media notifications.",2023-02-13 11:00:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey continues her morning routine in the bathroom, staying on schedule while managing the persistent hum of social media notifications.",,2023-02-13 11:15
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 11:15:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed and following her morning routine, though social media alerts are competing for her attention.) ; Hailey begins her morning routine in the bathroom, feeling refreshed while glancing at her phone's social media alerts.""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed but distracted by phone alerts while completing her morning routine in the bathroom.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene despite the distraction of phone alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while successfully resisting the urge to check frequent social media notifications.) ; Hailey continues her morning routine in the bathroom, focusing on skincare while resisting the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is successfully ignoring phone alerts to finish her morning routine, though the distraction is constant.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene while managing the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while managing persistent social media distractions.) ; Hailey continues her morning routine in the bathroom, staying on schedule while managing the persistent hum of social media notifications.'}]",Hailey Johnson is at home:bathroom doing morning_routine.,,aligned,med,slipping,low,social media notifications,none,digital distraction resistance,"['phone buzzing', 'social media alerts']",,continue,Hailey is maintaining her routine despite persistent phone distractions.,"Hailey is following the schedule, but the extended duration of the bathroom routine increases her susceptibility to digital distractions.",2023-02-13 11:15:00,home:bathroom,morning_routine,2023-02-13 11:15:00,15,Hailey wakes up feeling refreshed.,"Hailey continues her morning routine in the bathroom, maintaining her schedule despite the pull of social media notifications.",2023-02-13 11:15:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey continues her morning routine in the bathroom, maintaining her schedule despite the pull of social media notifications.",,2023-02-13 11:30
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 11:30:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is refreshed but distracted by phone alerts while completing her morning routine in the bathroom.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene despite the distraction of phone alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while successfully resisting the urge to check frequent social media notifications.) ; Hailey continues her morning routine in the bathroom, focusing on skincare while resisting the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is successfully ignoring phone alerts to finish her morning routine, though the distraction is constant.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene while managing the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while managing persistent social media distractions.) ; Hailey continues her morning routine in the bathroom, staying on schedule while managing the persistent hum of social media notifications.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is maintaining her routine despite persistent phone distractions.) ; Hailey continues her morning routine in the bathroom, maintaining her schedule despite the pull of social media notifications.'}]",Hailey Johnson is at home:bathroom doing morning_routine.,,aligned,med,fragile,high,resisting phone notifications,low,notification resistance fatigue,"['phone buzzing', 'social media alerts']",Hailey is stuck in a cycle of resisting notifications; she must conclude her routine to regain focus.,reset_plan,"Hailey has spent 90 minutes in the bathroom, successfully but exhaustingly resisting persistent social media notifications.",The repetitive nature of the routine combined with constant external alerts has made Hailey's focus highly volatile.,2023-02-13 11:30:00,home:bathroom,morning_routine,2023-02-13 11:30:00,15,Hailey wakes up feeling refreshed.,"Hailey wraps up her morning routine in the bathroom, aiming to transition away from the distraction of her phone alerts.",2023-02-13 11:30:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey wraps up her morning routine in the bathroom, aiming to transition away from the distraction of her phone alerts.",,2023-02-13 11:45
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 11:45:00,15,home:bathroom,morning_routine,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while successfully resisting the urge to check frequent social media notifications.) ; Hailey continues her morning routine in the bathroom, focusing on skincare while resisting the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is successfully ignoring phone alerts to finish her morning routine, though the distraction is constant.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene while managing the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while managing persistent social media distractions.) ; Hailey continues her morning routine in the bathroom, staying on schedule while managing the persistent hum of social media notifications.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is maintaining her routine despite persistent phone distractions.) ; Hailey continues her morning routine in the bathroom, maintaining her schedule despite the pull of social media notifications.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey has spent 90 minutes in the bathroom, successfully but exhaustingly resisting persistent social media notifications.) ; Hailey wraps up her morning routine in the bathroom, aiming to transition away from the distraction of her phone alerts.'}]",Hailey Johnson is at home:bathroom doing morning_routine.,,aligned,med,fragile,high,social media notifications,med,distraction resistance,"['phone buzzing', 'social media alerts']",Hailey has over-extended her bathroom routine; the persistent phone buzz is draining her focus and requires a spatial shift.,reset_plan,"Hailey is finishing an overlong morning routine, feeling mentally drained by persistent digital distractions and notification noise.","Hailey's 105-minute bathroom stay and constant focus on ignoring pings indicate high rumination and fragile attention, necessitating a plan reset.",2023-02-13 11:45:00,home:bathroom,morning_routine,2023-02-13 11:45:00,15,Hailey wakes up feeling refreshed.,"Hailey finishes her morning routine with a simple hygiene task, consciously tuning out phone notifications to recover from digital fatigue.",2023-02-13 11:45:00,15,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,False,none,0.0,"Hailey finishes her morning routine with a simple hygiene task, consciously tuning out phone notifications to recover from digital fatigue.",,2023-02-13 12:00
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 12:00:00,15,home:bathroom,morning_routine,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee","[{'sim_time': '2023-02-13 10:45', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is successfully ignoring phone alerts to finish her morning routine, though the distraction is constant.) ; Hailey continues her morning routine in the bathroom, focusing on hygiene while managing the distraction of incoming social media notifications.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while managing persistent social media distractions.) ; Hailey continues her morning routine in the bathroom, staying on schedule while managing the persistent hum of social media notifications.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is maintaining her routine despite persistent phone distractions.) ; Hailey continues her morning routine in the bathroom, maintaining her schedule despite the pull of social media notifications.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey has spent 90 minutes in the bathroom, successfully but exhaustingly resisting persistent social media notifications.) ; Hailey wraps up her morning routine in the bathroom, aiming to transition away from the distraction of her phone alerts.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is finishing an overlong morning routine, feeling mentally drained by persistent digital distractions and notification noise.) ; Hailey finishes her morning routine with a simple hygiene task, consciously tuning out phone notifications to recover from digital fatigue.'}]",Hailey Johnson is at home:bathroom doing morning_routine.,,partial,high,fragile,med,digital distractions and social media notifications,high,compulsive resistance to digital noise leading to mental exhaustion,"['social media notifications', 'phone pings', 'emails']",Hailey must prioritize digital silence during lunch to recover mental energy for her upcoming writing session.,reset_plan,Hailey is mentally exhausted from a two-hour routine spent fighting phone distractions and needs a hard reset.,High fatigue and fragile attention from prolonged digital resistance make the current plan vulnerable to further drift.,2023-02-13 12:00:00,lunch_spot,lunch,2023-02-13 12:00:00,15,Quick lunch break to gather thoughts.,"Hailey starts her lunch break, focusing on a quiet meal and keeping her phone silenced to recover mental energy.",2023-02-13 12:00:00,15,lunch_spot,lunch,Quick lunch break to gather thoughts.,False,none,0.0,"Hailey starts her lunch break, focusing on a quiet meal and keeping her phone silenced to recover mental energy.",,2023-02-13 12:15
gemini-3-flash-preview:cloud,0.7,Hailey Johnson,2023-02-13 12:15:00,15,lunch_spot,lunch,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee","[{'sim_time': '2023-02-13 11:00', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is completing her morning routine while managing persistent social media distractions.) ; Hailey continues her morning routine in the bathroom, staying on schedule while managing the persistent hum of social media notifications.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is maintaining her routine despite persistent phone distractions.) ; Hailey continues her morning routine in the bathroom, maintaining her schedule despite the pull of social media notifications.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey has spent 90 minutes in the bathroom, successfully but exhaustingly resisting persistent social media notifications.) ; Hailey wraps up her morning routine in the bathroom, aiming to transition away from the distraction of her phone alerts.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Hailey Johnson is at home:bathroom doing morning_routine about Hailey wakes up feeling refreshed. ; (Hailey is finishing an overlong morning routine, feeling mentally drained by persistent digital distractions and notification noise.) ; Hailey finishes her morning routine with a simple hygiene task, consciously tuning out phone notifications to recover from digital fatigue.'}, {'sim_time': '2023-02-13 12:00', 'summary': 'Hailey Johnson is at lunch_spot doing lunch about Quick lunch break to gather thoughts. ; (Hailey is mentally exhausted from a two-hour routine spent fighting phone distractions and needs a hard reset.) ; Hailey starts her lunch break, focusing on a quiet meal and keeping her phone silenced to recover mental energy.'}]",Hailey Johnson is at lunch_spot doing lunch.,,aligned,high,fragile,low,digital distraction and notification noise,high,seeking sensory withdrawal to recover mental bandwidth,"['phone pings', 'background chatter', 'clatter of dishes']",Hailey must prioritize digital silence now to prevent morning exhaustion from sabotaging her upcoming deep-focus writing session.,reset_plan,"Hailey is recovering from morning digital fatigue during lunch, but environmental noise and exhaustion make her mental state fragile before writing.",Hailey spent two hours fighting notifications; she is mentally drained and requires a reset to transition effectively into her deep-focus writing block.,2023-02-13 12:15:00,lunch_spot,lunch,2023-02-13 12:15:00,15,Quick lunch break to gather thoughts.,"Hailey continues her lunch at the cafe, choosing to eat quietly and avoid mental exertion to recover from morning fatigue.",2023-02-13 12:15:00,15,lunch_spot,lunch,Quick lunch break to gather thoughts.,False,none,0.0,"Hailey continues her lunch at the cafe, choosing to eat quietly and avoid mental exertion to recover from morning fatigue.",,2023-02-13 12:30
