llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,"Isabella Rodriguez is in the bathroom performing morning routine with shower steam, lavender soap, toothbrush, phone emails.","Observation shows routine activity, no signs of drift or emotional leakage; persona likely following plan.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue shower routine, finish brushing, check emails, prepare coffee",2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue shower routine, finish brushing, check emails, prepare coffee"
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,,,,"Isabella is in bathroom, performing morning routine, energized, interacting with phone emails, shower steam, lavender soap, toothbrush.","Observation matches plan, no drift or fatigue detected; attention is stable; no rumination; continue current routine.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue shower, wash, and check emails.",2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue shower, wash, and check emails."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,,,,"Isabella is performing morning routine, energized, following plan.","Observation matches plan, no drift detected.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine, hydrate and stretch.",2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine, hydrate and stretch."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,,,,"Isabella is following her morning routine, energized, engaging with phone emails, shower steam, and lavender soap.","Observation indicates Isabella is on task, no drift signals detected.",continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine, check emails, shower steam, lavender soap.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine, check emails, shower steam, lavender soap."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,,,,"Isabella Rodriguez is following her morning routine, energized.","Observation matches plan, no drift detected; routine is engaging and structured.",continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine, get dressed, grab bag, ready for work.",2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine, get dressed, grab bag, ready for work."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,,routine focus,,"Isabella follows morning routine, energized, no drift.","Observation shows consistent routine adherence, low fatigue, stable attention.",continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Begin morning routine, energize for the day.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Begin morning routine, energize for the day."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,,,,"Isabella follows her morning routine, energized and engaged.","Observation confirms routine adherence, no drift detected.",continue,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish shower, brush teeth, get dressed and ready for the day.",2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish shower, brush teeth, get dressed and ready for the day."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,,,,"Isabella is following her morning routine, energized, engaged.","Observation shows routine adherence, no drift or fatigue.",continue,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Proceed with morning routine, maintain energy.",2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Proceed with morning routine, maintain energy."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,,,,"Isabella is energized, following her morning routine, engaging with phone, shower, and dressing, while ambient sounds provide mild distraction.","Observation confirms routine adherence, low fatigue, stable focus, minimal emotional noise, and minor external stimuli.",continue,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Proceed with morning routine, maintain focus, handle phone, shower, dress.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Proceed with morning routine, maintain focus, handle phone, shower, dress."
gpt-oss:20b-cloud,0.5,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,,,,"Isabella remains focused at Hobbs_Cafe, engaging customers and managing tasks efficiently.",All indicators show strong alignment with the morning routine and minimal distractions.,continue,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Continue engaging customers at the counter, ensuring smooth service.",2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Continue engaging customers at the counter, ensuring smooth service."
