llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:00:00,,,,"Sam wakes, follows morning routine, senses present environment, no drift detected.","Limited context indicates routine alignment, low fatigue, stable attention, no looping.",continue,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Wake, hydrate, and prepare for the day.",2023-02-13 05:00:00,False,none,,continue,,,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Wake, hydrate, and prepare for the day."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:15:00,,,,"Sam is calmly executing morning routine, environment sensory details noted.","No drift signals detected, routine aligned, low boredom, stable focus.",continue,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Continue morning routine, hydrate and prepare for office.",2023-02-13 05:15:00,False,none,,continue,,,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Continue morning routine, hydrate and prepare for office."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:30:00,,,,"Sam maintains disciplined morning routine, environment hums, no drift detected.","Observation shows calm execution, plan aligned, minimal competing stimuli, no indicators of rumination, fatigue, or volatility.",continue,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Get up, perform 5‑minute stretch, take a glass of water, and prepare for the day.",2023-02-13 05:30:00,False,none,,continue,,,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Get up, perform 5‑minute stretch, take a glass of water, and prepare for the day."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:45:00,,,,"Sam continues disciplined morning routine in bathroom, uses water, takes shower, and hears phone buzz amid dim light.","No deviation detected, emotional quiet, attention focused. Routine steady, minimal competing stimuli.",continue,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Sam continues disciplined morning routine, shower in bathroom, preparing for the day.",2023-02-13 05:45:00,False,none,,continue,,,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Sam continues disciplined morning routine, shower in bathroom, preparing for the day."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:00:00,,,,"Sam Moore remains focused, following the disciplined morning routine in the bathroom with minimal distraction.","Observation confirms routine adherence, low fatigue, stable focus, and minimal emotional noise, allowing continuation without plan reset.",continue,2023-02-13 06:00:00,,,,,2023-02-13 06:00:00,False,none,,continue,,,2023-02-13 06:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Sam Moore is at home:bathroom doing morning_routine.
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:15:00,,,,"Sam Moore follows disciplined morning routine in bathroom, engaging senses, minimal distraction, maintaining focus on hydration, stretch, shower, start day calmly.","Routine maintained, no drift noted, focus intact; attention stable, emotions neutral; no shift needed.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Begin bathroom morning routine: hydrate, stretch, shower for refreshed start.",2023-02-13 06:15:00,False,none,,continue,,,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Begin bathroom morning routine: hydrate, stretch, shower for refreshed start."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:30:00,,,,"Sam remains in the bathroom, diligently following a calm, disciplined morning routine despite a buzzing phone.","Observation confirms full focus, low stress, no fatigue, stable attention, no drift.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Sam remains in bathroom, calmly following the morning routine with minimal distraction from phone buzzes.",2023-02-13 06:30:00,False,none,,continue,,,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Sam remains in bathroom, calmly following the morning routine with minimal distraction from phone buzzes."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:45:00,,,,"Sam maintains disciplined morning routine, uninterrupted by phone buzzes, focusing on hydration, stretch, shower.","Observed routine adherence, minimal distraction, stable attention; no emotional signals; suggests continuing plan.",continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Start morning routine with water and light stretch in bedroom.,2023-02-13 06:45:00,False,none,,continue,,,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Start morning routine with water and light stretch in bedroom.
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 07:00:00,,focused routine,,"Sam is maintaining a disciplined morning routine, undistracted by phone buzzes.","Consistent focus on routine, minimal external distraction, low emotional noise.",continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Begin morning routine: wake up, stretch, shower, get dressed.",2023-02-13 07:00:00,False,none,,continue,,,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Begin morning routine: wake up, stretch, shower, get dressed."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 07:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 07:15:00,,,,"Sam remains disciplined and focused, resisting phone distractions during routine.",All observations suggest Sam follows routine closely with minimal distraction and fatigue.,continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Proceed with work on the outline, staying disciplined and focused.",2023-02-13 07:15:00,False,none,,continue,,,2023-02-13 07:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Proceed with work on the outline, staying disciplined and focused."
