llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,digital distraction awareness,,"Isabella is focused on her morning routine, though the glowing phone screen presents a minor external pull.","Isabella is following her schedule. The sensory environment is grounding, but the phone screen is a competing stimulus to monitor.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, focusing on hygiene while managing the minor distraction of incoming digital notifications.",2023-02-13 06:00:00,True,attentional_leak,Valentine's Day party RSVPs,glancing at phone notifications while brushing teeth,The buzzing toothbrush timer reminds her to finish rinsing and move on with her routine.,"Isabella's excitement for tomorrow's party makes the glowing phone irresistible, pulling her focus toward guest list updates.",2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day party RSVPs,"Isabella brushes her teeth in the bathroom as part of her morning routine, while her mind drifts to Valentine's Day party RSVPs."
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's Day party RSVPs,social planning anticipation,Isabella should prioritize her physical routine over the glowing phone screen to prevent early cognitive load.,"Isabella is energized and performing her morning routine, though social notifications are beginning to pull her focus away.","Isabella is following her plan, but the phone's presence introduces a competing stimulus that threatens her focus.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Morning hygiene and dressing,"Continuing the morning routine, focusing on physical preparation while ignoring phone notifications.",2023-02-13 06:15:00,True,behavioral,Valentine's Day party RSVPs,checking phone notifications while getting dressed,"Isabella may put the phone down if she notices the time, refocusing on finishing her routine.",Isabella's social nature and excitement for the party make the glowing phone screen an irresistible distraction from her physical routine.,2023-02-13 06:15:00,home:bedroom,morning_routine,Valentine's Day party RSVPs,behavioral,Valentine's Day party RSVPs,"Isabella checks phone notifications for Valentine's Day party RSVPs in her bedroom, delaying her morning routine."
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 06:30:00,home:bedroom,morning_routine,Isabella Rodriguez is at home:bedroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's Day party RSVPs,social prioritization over routine,Isabella must prioritize finishing her routine over social notifications to maintain her morning schedule.,"Isabella is energized but distracted by social notifications, causing her morning routine to stall.","Isabella's focus shifted from hygiene to social planning, indicating a behavioral drift that requires correction to stay on schedule.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella refocuses on her morning hygiene, prioritizing her routine over social notifications to stay aligned with her schedule.",2023-02-13 06:30:00,True,attentional_leak,Valentine's Day party decorations and guest list,staring into the mirror while mentally mapping out cafe seating,The cold water on her face might bring her back to the present task.,"Isabella's excitement for the party overrides her focus on skincare, leading her to mentally organize the cafe layout while she works.",2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day party decorations and guest list,Isabella performs her morning skincare routine in the bathroom while her mind drifts to Valentine's Day party decorations and the guest list.
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,Valentine's Day party logistics,Prioritizing social digital engagement over physical morning tasks.,Isabella is letting digital social buzz stall her physical routine; she must disconnect to finish grooming.,Isabella is physically present in her routine but mentally anchored to party planning via her phone.,"Isabella has drifted toward party planning in every recorded interval, indicating a strong external pull from her device.",continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Complete grooming and skincare routine,"Isabella continues her morning routine, attempting to refocus on physical preparation despite the digital pull of party planning.",2023-02-13 06:45:00,True,behavioral,finalizing the party guest list and RSVP responses,checking and responding to party-related messages on her phone,Isabella may refocus if she realizes she is running late for the cafe opening.,Isabella's excitement for tomorrow's party and the constant notifications make it impossible for her to focus solely on her skincare routine.,2023-02-13 06:45:00,home:bathroom,socialize,finalizing the party guest list and RSVP responses,behavioral,finalizing the party guest list and RSVP responses,"Isabella stands in the bathroom checking and responding to party-related messages on her phone, completely distracted from her planned morning routine."
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,socialize,Isabella Rodriguez is at home:bathroom doing socialize.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's Day party planning,Social coordination overriding routine tasks,Isabella has abandoned her morning routine for party planning; she must put the phone down to finish grooming.,"Isabella is fully distracted by party planning on her phone, neglecting her morning routine in the bathroom.","Isabella's focus shifted from hygiene to social coordination, leading to a complete abandonment of her scheduled morning routine.",reset_plan,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella refocuses on her morning routine, prioritizing basic hygiene over party planning to get back on track.",2023-02-13 07:00:00,True,internal,Valentine's Day party menu and cafe decor,continue,"Isabella finishes washing her face and looks in the mirror, momentarily snapping back to the present task.","Isabella attempts to resume her routine, but her mind remains anchored to the excitement of tomorrow's party preparations.",2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,Valentine's Day party menu and cafe decor,Isabella completes her morning routine in the bathroom while her mind drifts to the Valentine's Day party menu and cafe decor.
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's Day party planning,Social planning fixation,Isabella is neglecting her physical routine for digital social planning; she must disconnect to complete her morning tasks.,Isabella is physically in her routine but mentally consumed by party logistics via her phone.,Persistent drift toward party planning for over an hour indicates a loss of focus on the primary morning objective.,reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella attempts to reset her focus by putting down her phone and engaging in simple, physical morning routine tasks.",2023-02-13 07:15:00,True,internal,visualizing the cafe's floral arrangements and party playlist,continue,"Isabella refocuses after a moment of staring at her closet, realizing she needs to hurry to open the cafe.","Isabella is trying to follow her reset plan, but her excitement for tomorrow's party keeps her mind anchored on cafe aesthetics.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,visualizing the cafe's floral arrangements and party playlist,Isabella completes her morning routine in her bedroom while her mind drifts to visualizing the cafe's floral arrangements and party playlist.
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,Valentine's Day party logistics and cafe decor,Hyper-fixation on event planning during routine tasks,Isabella must put the phone down to finish her routine or the party planning will consume her morning.,"Isabella is physically completing her routine but mentally consumed by party logistics, leading to significant time slippage and distraction.","Isabella's focus is consistently hijacked by party planning, turning a simple routine into a fragmented, phone-dependent process.",reset_plan,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella attempts to reset her focus on her morning routine, prioritizing physical preparation over digital party planning to regain her schedule.",2023-02-13 07:30:00,True,internal,mentally rehearsing the cafe's Valentine's Day setup and supply run,continue,She splashes cold water on her face to snap back into the present moment.,"Isabella is determined to finish her routine, but the excitement for tomorrow's party keeps her mind racing through her cafe to-do list.",2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,mentally rehearsing the cafe's Valentine's Day setup and supply run,Isabella completes her morning routine in the bathroom while mind drifts to mentally rehearsing the cafe's Valentine's Day setup and supply run.
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's Day party logistics,digital hyper-fixation,Isabella is hyper-fixated on party logistics; she needs to disconnect from her phone to complete her morning routine.,"Isabella is physically present in her routine but mentally anchored to party planning, leading to repetitive behavior and time loss.","Persistent digital distractions and party-related rumination have compromised Isabella's focus, stalling her morning progress for over an hour.",reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella focuses on basic self-care, intentionally setting aside her phone to break the cycle of party-planning rumination.",2023-02-13 07:45:00,True,internal,mental checklist of party supplies and cafe layout,continue,She finishes dressing but pauses briefly to visualize the cafe entrance.,"Isabella is determined to finish her routine, but her mind keeps jumping back to the cafe's Valentine's setup.",2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,mental checklist of party supplies and cafe layout,Isabella completes her morning routine in the bedroom while her mind drifts to a mental checklist of party supplies and cafe layout.
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's Day party logistics,logistical fixation,Isabella is physically present but mentally submerged in party planning; she must transition to active work to break the loop.,"Isabella is physically completing her routine while mentally obsessing over party logistics, leading to significant cognitive drift.","Isabella has drifted into party planning for five consecutive ticks, indicating a high level of logistical fixation.",reset_plan,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Engaging in low-cognitive load storekeeping to transition from party rumination back to work duties.,2023-02-13 08:00:00,True,attentional_leak,visualizing party decorations and table placement in the cafe,staring at the empty corner while holding the inventory clipboard,The sharp hiss of the espresso machine or a regular's greeting will snap her back to the inventory.,"Isabella is back at the cafe, but the physical space only fuels her excitement for tomorrow's party layout.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,attentional_leak,visualizing party decorations and table placement in the cafe,Isabella conducts inventory in the cafe storage while her mind drifts to visualizing party decorations and table placement.
gemini-3-flash-preview:cloud,0.2,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's Day party logistics and cafe decor,Hyper-fixation on event planning displacing operational focus,Isabella must silence her phone and ground herself in the cafe's sensory environment to prevent total operational neglect.,"Isabella is physically at the cafe counter but mentally consumed by party planning, exacerbated by her vibrating phone.",Persistent party fixation and external phone stimuli are undermining Isabella's ability to focus on cafe operations and inventory.,reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Isabella shifts to low-effort counter tasks to ground herself and manage party-planning rumination.,2023-02-13 08:15:00,True,internal,checking RSVPs and finalizing the guest list,mentally rehearsing the party layout while wiping the counter,The chime of the door or a customer's greeting will pull her back to the counter.,"Isabella is trying to ground herself, but her excitement for tomorrow's party makes mental wandering nearly impossible to resist.",2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,internal,checking RSVPs and finalizing the guest list,Isabella cleans the counter at Hobbs Cafe while her mind drifts to checking RSVPs and finalizing the guest list.
