llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,drift_intensity_d,potential_recovery_d,justification_d,datetime_start_d,duration_min_d,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 10:00:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",[],Maria Lopez is at home:bathroom doing morning_routine.,Maria wakes up feeling energetic.,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,"Maria begins her day energetically, following her morning routine as planned.","Maria is aligned with her schedule, showing no signs of drift or fatigue during morning routine.",2023-02-13 10:00:00,home:bathroom,morning_routine,2023-02-13 10:00:00,15,Maria wakes up feeling energetic.,Continuing morning routine with energy,False,none,,continue,0.0,,,2023-02-13 10:00:00,15,2023-02-13 10:00:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,Continuing morning routine with energy,,2023-02-13 10:15
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 10:15:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria begins her day energetically, following her morning routine as planned.) ; Continuing morning routine with energy'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,Maria maintains morning routine with energy and focus,Maria is following her planned routine with high energy and no signs of distraction or fatigue.,2023-02-13 10:15:00,home:bathroom,morning_routine,2023-02-13 10:15:00,15,Maria wakes up feeling energetic.,"Morning routine in progress, maintaining energy",True,attentional_leak,upcoming Twitch stream ideas,checking phone notifications,0.4,Will refocus after quick social media check,Maria's energetic nature and buzzing phone trigger thoughts about her streaming community.,2023-02-13 10:15:00,15,2023-02-13 10:15:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,True,attentional_leak,0.4,Continuing morning routine while checking phone notifications about Twitch stream ideas,upcoming Twitch stream ideas,2023-02-13 10:30
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 10:30:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria begins her day energetically, following her morning routine as planned.) ; Continuing morning routine with energy'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains morning routine with energy and focus) ; Continuing morning routine while checking phone notifications about Twitch stream ideas'}]",Maria Lopez is at home:bathroom doing morning_routine.,,partial,low,slipping,low,upcoming Twitch stream ideas,low,Maria is mentally transitioning from morning routine to creative planning,"['phone notifications', 'upcoming Twitch stream ideas']",Redirect focus to morning routine before transitioning to study mode,continue,Maria maintains energy but attention is divided between routine and stream planning,Maria's natural enthusiasm is causing minor drift toward creative work during routine tasks,2023-02-13 10:30:00,home:bathroom,morning_routine,2023-02-13 10:30:00,15,Maria wakes up feeling energetic.,Finishing morning routine with divided attention on stream planning,True,attentional_leak,planning tonight's Twitch stream content,checking phone for game updates while brushing teeth,0.5,Will refocus when moving to next task,"Maria's enthusiasm for streaming naturally pulls her attention from routine tasks, especially with phone notifications present.",2023-02-13 10:30:00,15,2023-02-13 10:30:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,True,attentional_leak,0.5,Finishing morning routine while checking phone for game updates and planning stream content,planning tonight's Twitch stream content,2023-02-13 10:45
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 10:45:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria begins her day energetically, following her morning routine as planned.) ; Continuing morning routine with energy'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains morning routine with energy and focus) ; Continuing morning routine while checking phone notifications about Twitch stream ideas'}, {'sim_time': '2023-02-13 10:30', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward planning tonight's Twitch stream content ; (Maria maintains energy but attention is divided between routine and stream planning) ; Finishing morning routine while checking phone for game updates and planning stream content""}]",Maria Lopez is at home:bathroom doing morning_routine.,,partial,low,slipping,low,Twitch stream planning,low,Persistent focus on stream planning during routine tasks,"['phone notifications', 'upcoming stream ideas', 'game updates']",Maria needs to complete morning routine before diving into stream planning,continue,Energetic but distracted by stream planning during morning routine,Maria maintains energy but attention is divided between routine and stream planning,2023-02-13 10:45:00,home:bathroom,morning_routine,2023-02-13 10:45:00,15,Maria wakes up feeling energetic.,Completing morning routine while managing stream planning thoughts,True,attentional_leak,tonight's Twitch stream setup and game selection,checking phone for stream alerts while brushing teeth,0.6000000000000001,Will refocus when moving to next activity,"Maria's enthusiasm for streaming pulls attention from routine tasks, especially with phone notifications present.",2023-02-13 10:45:00,15,2023-02-13 10:45:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,True,attentional_leak,0.6000000000000001,Completing morning routine while checking phone for stream alerts and planning game selection,tonight's Twitch stream setup and game selection,2023-02-13 11:00
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 11:00:00,15,home:bathroom,morning_routine,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria begins her day energetically, following her morning routine as planned.) ; Continuing morning routine with energy'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains morning routine with energy and focus) ; Continuing morning routine while checking phone notifications about Twitch stream ideas'}, {'sim_time': '2023-02-13 10:30', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward planning tonight's Twitch stream content ; (Maria maintains energy but attention is divided between routine and stream planning) ; Finishing morning routine while checking phone for game updates and planning stream content""}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during morning routine) ; Completing morning routine while checking phone for stream alerts and planning game selection""}]",Maria Lopez is at home:bathroom doing morning_routine.,,partial,low,slipping,med,Twitch stream planning,low,Persistent stream-related thoughts during morning routine,"['phone notifications', 'stream alerts', 'game selection ideas']",Maria needs to transition focus to physics studies at library,reset_plan,Energetic but distracted by stream planning during morning routine,"Maria's attention is slipping toward stream planning during morning routine, requiring reset for study focus",2023-02-13 11:00:00,Oak_Hill_College:library,study,2023-02-13 11:00:00,15,Studying physics and participating in online discussions.,Transitioning to library for lighter physics study session,False,none,,continue,0.0,,,2023-02-13 11:00:00,15,2023-02-13 11:00:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Transitioning to library for lighter physics study session,,2023-02-13 11:15
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria begins her day energetically, following her morning routine as planned.) ; Continuing morning routine with energy'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains morning routine with energy and focus) ; Continuing morning routine while checking phone notifications about Twitch stream ideas'}, {'sim_time': '2023-02-13 10:30', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward planning tonight's Twitch stream content ; (Maria maintains energy but attention is divided between routine and stream planning) ; Finishing morning routine while checking phone for game updates and planning stream content""}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during morning routine) ; Completing morning routine while checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Energetic but distracted by stream planning during morning routine) ; Transitioning to library for lighter physics study session'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,low,slipping,med,tonight's Twitch stream content and setup,low,persistent return to stream planning during study time,"['phone pings with email notifications', 'upcoming Twitch stream ideas']",Maria needs to compartmentalize stream planning for later to focus on physics,continue,Energetic but distracted by stream planning during study session,Maria's attention is divided between physics study and persistent stream planning thoughts,2023-02-13 11:15:00,Oak_Hill_College:library,study,2023-02-13 11:15:00,15,Studying physics and participating in online discussions.,Continuing physics study while managing stream-related distractions,True,attentional_leak,tonight's Twitch stream setup and game selection,checking phone for stream alerts while pretending to study,0.6000000000000001,May refocus after quick stream check,"Maria's enthusiasm for streaming pulls focus from physics, despite good intentions.",2023-02-13 11:15:00,15,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,True,attentional_leak,0.6000000000000001,Studying physics while frequently checking phone for stream alerts and planning game selection,tonight's Twitch stream setup and game selection,2023-02-13 11:30
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains morning routine with energy and focus) ; Continuing morning routine while checking phone notifications about Twitch stream ideas'}, {'sim_time': '2023-02-13 10:30', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward planning tonight's Twitch stream content ; (Maria maintains energy but attention is divided between routine and stream planning) ; Finishing morning routine while checking phone for game updates and planning stream content""}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during morning routine) ; Completing morning routine while checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Energetic but distracted by stream planning during morning routine) ; Transitioning to library for lighter physics study session'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during study session) ; Studying physics while frequently checking phone for stream alerts and planning game selection""}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,tonight's Twitch stream setup and game selection,low,persistent stream planning during study time,"['phone pings with email notifications', 'stream alerts', 'upcoming Twitch stream ideas']",Maria needs to compartmentalize stream planning to maintain study focus,reset_plan,Maria is studying physics but frequently distracted by stream planning,Persistent drift toward stream planning indicates need for structured attention management,2023-02-13 11:30:00,Oak_Hill_College:library,study,2023-02-13 11:30:00,15,Studying physics and participating in online discussions.,Continuing study session with adjusted focus on lighter physics review,False,none,,continue,0.0,,,2023-02-13 11:30:00,15,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Continuing study session with adjusted focus on lighter physics review,,2023-02-13 11:45
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:30', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward planning tonight's Twitch stream content ; (Maria maintains energy but attention is divided between routine and stream planning) ; Finishing morning routine while checking phone for game updates and planning stream content""}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during morning routine) ; Completing morning routine while checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Energetic but distracted by stream planning during morning routine) ; Transitioning to library for lighter physics study session'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during study session) ; Studying physics while frequently checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is studying physics but frequently distracted by stream planning) ; Continuing study session with adjusted focus on lighter physics review'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,tonight's Twitch stream setup and game selection,low,persistent stream-related thoughts intruding during study time,"['phone pings with email notifications', 'stream alerts', 'internal thoughts about stream planning']",Maria needs to compartmentalize stream planning for dedicated time later,continue,Studying physics while struggling with stream-related distractions,"Maria maintains energy but shows persistent distraction by stream planning during study, indicating partial alignment with current task",2023-02-13 11:45:00,Oak_Hill_College:library,study,2023-02-13 11:45:00,15,Studying physics and participating in online discussions.,Continuing study session while managing stream-related distractions,True,attentional_leak,tonight's Twitch stream setup and game selection,checking phone for stream alerts while attempting to study,0.6000000000000001,May refocus after quick stream-related check,Maria's persistent stream thoughts and phone alerts pull focus from physics review despite good intentions.,2023-02-13 11:45:00,15,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,True,attentional_leak,0.6000000000000001,Reviewing physics chapter while frequently checking phone for stream alerts and planning game selection,tonight's Twitch stream setup and game selection,2023-02-13 12:00
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 12:00:00,15,Oak_Hill_College:library,study,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during morning routine) ; Completing morning routine while checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Energetic but distracted by stream planning during morning routine) ; Transitioning to library for lighter physics study session'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during study session) ; Studying physics while frequently checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is studying physics but frequently distracted by stream planning) ; Continuing study session with adjusted focus on lighter physics review'}, {'sim_time': '2023-02-13 11:45', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Studying physics while struggling with stream-related distractions) ; Reviewing physics chapter while frequently checking phone for stream alerts and planning game selection""}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,tonight's Twitch stream setup and game selection,low,persistent stream planning during academic tasks,"['phone vibrating with stream alerts', 'background chatter', 'aroma of coffee']",Maria needs to compartmentalize stream planning for dedicated time to prevent academic performance impact,reset_plan,Maria is struggling to focus on physics due to persistent stream planning thoughts,Repeated attentional leaks to stream planning indicate need for structured focus management,2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:00:00,15,Lunch at her favorite cafe while catching up on messages.,"Taking lunch break to reset focus, allowing some stream planning",False,none,,continue,0.0,,,2023-02-13 12:00:00,15,2023-02-13 12:00:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,"Taking lunch break to reset focus, allowing some stream planning",,2023-02-13 12:15
cogito-2.1:671b-cloud,0.0,Maria Lopez,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Energetic but distracted by stream planning during morning routine) ; Transitioning to library for lighter physics study session'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Energetic but distracted by stream planning during study session) ; Studying physics while frequently checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is studying physics but frequently distracted by stream planning) ; Continuing study session with adjusted focus on lighter physics review'}, {'sim_time': '2023-02-13 11:45', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's Twitch stream setup and game selection ; (Studying physics while struggling with stream-related distractions) ; Reviewing physics chapter while frequently checking phone for stream alerts and planning game selection""}, {'sim_time': '2023-02-13 12:00', 'summary': 'Maria Lopez is at Hobbs_Cafe:main_floor doing lunch about Lunch at her favorite cafe while catching up on messages. ; (Maria is struggling to focus on physics due to persistent stream planning thoughts) ; Taking lunch break to reset focus, allowing some stream planning'}]",Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,,partial,med,slipping,med,tonight's Twitch stream setup and game selection,low,persistent stream planning interfering with current tasks,"['phone vibrating with stream alerts', 'background chatter at cafe', 'thoughts about game selection']",Maria needs to compartmentalize stream planning for dedicated time later,continue,Maria is having lunch while mentally juggling stream planning and study concerns,"Stream planning is creating cognitive load during study and leisure time, requiring attention management",2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:15:00,15,Lunch at her favorite cafe while catching up on messages.,"Continuing lunch break, acknowledging stream thoughts while staying present",True,attentional_leak,tonight's Twitch stream setup and game selection,checking phone and mentally planning stream,0.6000000000000001,May refocus after quick stream note,Maria's energetic mind keeps circling back to stream prep despite lunch break intentions,2023-02-13 12:15:00,15,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,True,attentional_leak,0.6000000000000001,Eating lunch while frequently checking phone and mentally planning tonight's Twitch stream,tonight's Twitch stream setup and game selection,2023-02-13 12:30
