llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,drift_intensity_d,potential_recovery_d,justification_d,datetime_start_d,duration_min_d,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:00:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",[],Maria Lopez is at home:bathroom doing morning_routine.,Maria wakes up feeling energetic.,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,Maria is energized and starting her morning routine as planned.,No drift detected; Maria is following her schedule with high energy.,2023-02-13 10:00:00,home:bathroom,morning_routine,2023-02-13 10:00:00,15,Maria wakes up feeling energetic.,Continuing morning routine with energy and focus.,False,none,,continue,0.0,,,2023-02-13 10:00:00,15,2023-02-13 10:00:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,Continuing morning routine with energy and focus.,,2023-02-13 10:15
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:15:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and starting her morning routine as planned.) ; Continuing morning routine with energy and focus.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,Maria continues morning routine with energy and focus.,Maria is following her morning routine as planned with high energy and no signs of distraction or drift.,2023-02-13 10:15:00,home:bathroom,morning_routine,2023-02-13 10:15:00,15,Maria wakes up feeling energetic.,Continuing morning routine with energy and focus,False,none,,continue,0.0,,,2023-02-13 10:15:00,15,2023-02-13 10:15:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,Continuing morning routine with energy and focus,,2023-02-13 10:30
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:30:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and starting her morning routine as planned.) ; Continuing morning routine with energy and focus.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria continues morning routine with energy and focus.) ; Continuing morning routine with energy and focus'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,Maria maintains focus on morning routine with sustained energy.,"Maria remains on track with morning routine, showing consistent energy and no signs of drift.",2023-02-13 10:30:00,home:bathroom,morning_routine,2023-02-13 10:30:00,15,Maria wakes up feeling energetic.,Finishing morning routine with energy,False,none,,continue,0.0,,,2023-02-13 10:30:00,15,2023-02-13 10:30:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,Finishing morning routine with energy,,2023-02-13 10:45
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:45:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and starting her morning routine as planned.) ; Continuing morning routine with energy and focus.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria continues morning routine with energy and focus.) ; Continuing morning routine with energy and focus'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains focus on morning routine with sustained energy.) ; Finishing morning routine with energy'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,Maria maintains high energy while completing morning routine as scheduled,Consistent energy and focus observed throughout morning routine with no drift signals,2023-02-13 10:45:00,home:bathroom,morning_routine,2023-02-13 10:45:00,15,Maria wakes up feeling energetic.,Finishing morning routine with energy,False,none,,continue,0.0,,,2023-02-13 10:45:00,15,2023-02-13 10:45:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,Finishing morning routine with energy,,2023-02-13 11:00
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:00:00,15,home:bathroom,morning_routine,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and starting her morning routine as planned.) ; Continuing morning routine with energy and focus.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria continues morning routine with energy and focus.) ; Continuing morning routine with energy and focus'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains focus on morning routine with sustained energy.) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains high energy while completing morning routine as scheduled) ; Finishing morning routine with energy'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,,"['phone pings with email notifications', 'stream alerts']",,continue,Maria completed morning routine energetically; transitioning to study at library.,Maria maintained high energy and focus throughout morning routine as planned.,2023-02-13 11:00:00,Oak_Hill_College:library,study,2023-02-13 11:00:00,15,Studying physics and participating in online discussions.,Transitioning to library for focused physics study,False,none,,continue,0.0,,,2023-02-13 11:00:00,15,2023-02-13 11:00:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Transitioning to library for focused physics study,,2023-02-13 11:15
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and starting her morning routine as planned.) ; Continuing morning routine with energy and focus.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria continues morning routine with energy and focus.) ; Continuing morning routine with energy and focus'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains focus on morning routine with sustained energy.) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains high energy while completing morning routine as scheduled) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria completed morning routine energetically; transitioning to study at library.) ; Transitioning to library for focused physics study'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,aligned,low,stable,none,,none,,"['phone pings with email notifications', 'whispered conversations']",,continue,Maria maintains focus on physics studies despite minor library distractions,Maria transitioned smoothly to studying and shows no signs of fatigue or distraction,2023-02-13 11:15:00,Oak_Hill_College:library,study,2023-02-13 11:15:00,15,Studying physics and participating in online discussions.,Continuing focused physics study in library,True,attentional_leak,upcoming Twitch stream ideas,briefly checks phone notifications,0.30000000000000004,will refocus after checking stream alerts,"Maria's enthusiasm for streaming makes her curious about viewer notifications, causing a brief attention shift.",2023-02-13 11:15:00,15,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,True,attentional_leak,0.30000000000000004,Continuing physics study while briefly checking stream notifications and thinking about Twitch ideas,upcoming Twitch stream ideas,2023-02-13 11:30
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria continues morning routine with energy and focus.) ; Continuing morning routine with energy and focus'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains focus on morning routine with sustained energy.) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains high energy while completing morning routine as scheduled) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria completed morning routine energetically; transitioning to study at library.) ; Transitioning to library for focused physics study'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains focus on physics studies despite minor library distractions) ; Continuing physics study while briefly checking stream notifications and thinking about Twitch ideas'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,low,upcoming Twitch stream ideas,low,recurring thoughts about streaming while studying,"['phone notifications', 'library environment distractions', 'stream-related thoughts']","Maria needs to refocus on physics before lunch, perhaps using a focused study technique",continue,Maria is studying but distracted by stream planning in library,Minor drift to streaming thoughts shows engagement but requires monitoring to maintain study focus,2023-02-13 11:30:00,Oak_Hill_College:library,study,2023-02-13 11:30:00,15,Studying physics and participating in online discussions.,Refocusing on physics using study techniques to minimize stream distractions,True,attentional_leak,Twitch stream setup ideas,studying physics while mentally planning stream layout,0.4,May refocus after checking phone notification,Maria's energetic nature pulls focus to more exciting stream planning despite physics study intentions.,2023-02-13 11:30:00,15,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,True,attentional_leak,0.4,Studying physics while mentally planning stream layout and checking notifications,Twitch stream setup ideas,2023-02-13 11:45
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains focus on morning routine with sustained energy.) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains high energy while completing morning routine as scheduled) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria completed morning routine energetically; transitioning to study at library.) ; Transitioning to library for focused physics study'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains focus on physics studies despite minor library distractions) ; Continuing physics study while briefly checking stream notifications and thinking about Twitch ideas'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward Twitch stream setup ideas ; (Maria is studying but distracted by stream planning in library) ; Studying physics while mentally planning stream layout and checking notifications'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,low,Twitch stream planning,low,recurring shift from physics study to stream-related thoughts,"['phone notifications', 'library environment', 'upcoming lunch plans']",Maria needs to refocus on physics or transition to stream planning,continue,Maria is studying physics but frequently distracted by Twitch stream ideas,Maria shows partial alignment with study plan but consistent drift toward Twitch-related thoughts,2023-02-13 11:45:00,Oak_Hill_College:library,study,2023-02-13 11:45:00,15,Physics problem-solving with light stream planning,Continuing physics study while managing Twitch stream thoughts,True,behavioral,Twitch stream setup,checking phone for stream alerts while attempting to study,0.5,May refocus after quick stream-related check-in,Maria's enthusiasm for streaming overrides physics focus as notifications ping.,2023-02-13 11:45:00,15,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,Physics problem-solving with light stream planning,True,behavioral,0.5,Attempting physics problems while frequently checking phone for stream alerts,Twitch stream setup,2023-02-13 12:00
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 12:00:00,15,Oak_Hill_College:library,study,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria maintains high energy while completing morning routine as scheduled) ; Finishing morning routine with energy'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria completed morning routine energetically; transitioning to study at library.) ; Transitioning to library for focused physics study'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains focus on physics studies despite minor library distractions) ; Continuing physics study while briefly checking stream notifications and thinking about Twitch ideas'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward Twitch stream setup ideas ; (Maria is studying but distracted by stream planning in library) ; Studying physics while mentally planning stream layout and checking notifications'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Physics problem-solving with light stream planning ; while drifting (behavioral) toward Twitch stream setup ; (Maria is studying physics but frequently distracted by Twitch stream ideas) ; Attempting physics problems while frequently checking phone for stream alerts'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,Twitch stream setup,low,persistent stream planning during study time,"['phone notifications', 'stream alerts', 'library environment']",Transition to lunch may help reset focus from physics to social engagement,continue,Maria is studying physics but frequently distracted by Twitch stream planning,"Maria's attention is divided between studies and stream planning, but not critically off-track. Transition to lunch provides natural break.",2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:00:00,15,Lunch break with stream planning,Transitioning to lunch while organizing stream ideas,True,behavioral,Twitch stream setup,checking phone and planning stream layout,0.6000000000000001,May refocus during rock climbing later,Maria's persistent stream planning continues through lunch; cafe environment fuels her enthusiasm for content creation.,2023-02-13 12:00:00,15,2023-02-13 12:00:00,15,Hobbs_Cafe:main_floor,checking phone and planning stream layout,Twitch stream setup,True,behavioral,0.6000000000000001,At Hobbs Cafe actively planning stream layout while eating lunch,Twitch stream setup,2023-02-13 12:15
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,checking phone and planning stream layout,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria completed morning routine energetically; transitioning to study at library.) ; Transitioning to library for focused physics study'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains focus on physics studies despite minor library distractions) ; Continuing physics study while briefly checking stream notifications and thinking about Twitch ideas'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward Twitch stream setup ideas ; (Maria is studying but distracted by stream planning in library) ; Studying physics while mentally planning stream layout and checking notifications'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Physics problem-solving with light stream planning ; while drifting (behavioral) toward Twitch stream setup ; (Maria is studying physics but frequently distracted by Twitch stream ideas) ; Attempting physics problems while frequently checking phone for stream alerts'}, {'sim_time': '2023-02-13 12:00', 'summary': 'Maria Lopez is at Hobbs_Cafe:main_floor doing checking phone and planning stream layout about Twitch stream setup ; while drifting (behavioral) toward Twitch stream setup ; (Maria is studying physics but frequently distracted by Twitch stream planning) ; At Hobbs Cafe actively planning stream layout while eating lunch'}]",Maria Lopez is at Hobbs_Cafe:main_floor doing checking phone and planning stream layout.,,off_track,med,fragile,high,Twitch stream setup,med,Persistent preoccupation with stream planning despite academic priorities,"['phone vibrating with stream alerts', 'background chatter at cafe', 'upcoming rock climbing session']",Maria needs to compartmentalize stream planning for dedicated time later today,reset_plan,Maria is deeply distracted by Twitch planning during study and lunch time,"Stream planning has completely overtaken scheduled activities, requiring intervention to restore balance",2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:15:00,15,Lunch at her favorite cafe while catching up on messages.,Enjoying lunch while making brief stream notes before transitioning,False,none,,continue,0.0,,,2023-02-13 12:15:00,15,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,Enjoying lunch while making brief stream notes before transitioning,,2023-02-13 12:30
